user_id,search_term,X,Y,info_need,need_probability,need_id,age,gender,education_level,job_type,income,previous_experience,intent_onetime_invest,intent_savingsplan,intent_active_trading,interested_in_shares,interested_in_funds,interested_in_etfs,interested_in_bonds,interested_in_levers,interested_in_certificates,interested_in_levers_or_certificates,plans_larger_invest,consider_ing,consider_comdirect,consider_spk,consider_etoro,consider_traderep
b7d95ef7c415e21da10998701314f58b,wertpapiere kaufen,11.594218,7.065731,Where to Trade,0.992,14,50,Male,High school diploma,Self-employed,4001€ - 6000€,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0
b8addfd300cee523d44fe3919704dea3,wertpapiere anbieter,10.744802,6.200619,Where to Trade,0.998,14,46,Male,Vocational training,Employee,2001€ - 2500€,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
f2c6d628ebe0ef1ff62cf7c6b64d04b7,"transparenz, bekannheitsgrad, zuverlässig",13.781424,5.310701,Safe and Reliable Providers,0.972,11,35,Female,Vocational training,Employee,3001€ - 4000€,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8598c0e8f9a90a5741a9a4818d5c6247,deka invewst,10.501516,10.13142,Brands,1,5,53,Male,Master degree,Employee,2001€ - 2500€,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
8598c0e8f9a90a5741a9a4818d5c6247,deka investment gmbh,10.878926,10.333457,Brands,1,5,53,Male,Master degree,Employee,2001€ - 2500€,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
ace4e82e2b1eeb119a578da71ae0c696,onvista bank,10.31415,8.454869,ETFs,0.896,12,57,Male,Vocational training,Self-employed,1501€ - 2000€,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0
e94b7b95d3abb29e3a40248deefaf771,postbank,10.159233,8.300206,ETFs,0.957,12,65,Female,Vocational training,Employee,1501€ - 2000€,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
e94b7b95d3abb29e3a40248deefaf771,postbank aktien kaufen anleitung,11.152441,7.6342807,Where to Trade,0.782,14,65,Female,Vocational training,Employee,1501€ - 2000€,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
8ef4bdb580bb3314518cc1d0579b7127,kostenloses depot,8.122952,4.45799,Brokerage Accounts,0.977,3,66,Male,Master degree,Other,2001€ - 2500€,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0
a5b96421ff1fbe265558ab46107dda1e,deka investment,10.813401,10.339153,Brands,1,5,55,Male,Bachelor degree,Employee,2001€ - 2500€,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0
